Numero_Processo,Orgao_Demandante,Objeto,Modalidade,Valor_Maximo_Estimado,Valor_Homologado,Situacao,Razao_Social_Vencedora,CNPJ_Vencedor,Data_Evento
24.587002-3,DETRAN,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 1,Pregão Eletrônico,3241082.1,0.0,Fracassado,N/A,N/A,2026-06-21
26.456699-1,CGE,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 1,Pregão Eletrônico,4293557.2,0.0,Deserto,N/A,N/A,2026-06-14
21.486251-5,Celepar,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 3,Pregão Eletrônico,4047488.96,3509718.09,Homologado,Inteligência Global ME,45.678.901/0001-23,2026-06-04
22.485709-9,SETI,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 2,Inexigibilidade de Licitação,2277992.91,0.0,Revogado,N/A,N/A,2026-06-02
24.801978-1,SEAP,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 3,Pregão Eletrônico,1678961.43,1540920.12,Homologado,Inova Sul S.A.,98.765.432/0001-10,2026-05-30
25.859489-8,SEAP,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 1,Dispensa de Licitação,1518350.47,1152892.89,Homologado,Inova Sul S.A.,98.765.432/0001-10,2026-05-25
21.972176-1,Celepar,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 1,Inexigibilidade de Licitação,1695731.46,1451179.52,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2026-05-14
21.701334-8,SEED,Serviços de auditoria de segurança da informação e testes de intrusão (Pentest) - Fase 2,Dispensa de Licitação,4297101.62,3357440.41,Homologado,Inteligência Global ME,45.678.901/0001-23,2026-05-11
25.826353-6,Celepar,Licenciamento de plataforma low-code para automação de processos internos - Fase 2,Dispensa de Licitação,3871259.56,0.0,Revogado,N/A,N/A,2026-05-09
24.442722-5,SEED,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 2,Pregão Eletrônico,396120.86,360361.76,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2026-05-04
21.962050-1,SEED,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 1,Pregão Eletrônico,3098436.05,2298343.4,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2026-04-28
21.845957-8,Celepar,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 1,Inexigibilidade de Licitação,1249377.11,1165285.39,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2026-04-23
25.712401-9,SEED,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 1,Pregão Eletrônico,1058183.26,888666.97,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2026-04-17
23.172792-4,DETRAN,Aquisição de computadores de alto desempenho e notebooks corporativos - Fase 3,Pregão Eletrônico,4415739.1,0.0,Fracassado,N/A,N/A,2026-04-08
26.182868-5,SETI,Aquisição de computadores de alto desempenho e notebooks corporativos - Fase 2,Inexigibilidade de Licitação,986521.03,0.0,Deserto,N/A,N/A,2026-03-26
26.344146-0,Celepar,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 2,Inexigibilidade de Licitação,479435.72,336300.57,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2026-03-18
22.852470-5,SEAP,Aquisição de computadores de alto desempenho e notebooks corporativos - Fase 3,Dispensa de Licitação,2289178.49,0.0,Deserto,N/A,N/A,2026-01-29
26.921874-7,SEAP,Licenciamento de banco de dados corporativo e suporte técnico - Fase 1,Pregão Eletrônico,3644548.7,,Em Andamento,N/A,N/A,2026-01-26
21.577538-6,SEAP,Contratação de consultoria para governança de dados e LGPD - Fase 3,Pregão Eletrônico,1816448.3,1605188.54,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2026-01-03
21.889882-3,CGE,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 1,Dispensa de Licitação,1513703.35,1398383.19,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2025-12-27
26.885395-4,SEED,Licenciamento de plataforma low-code para automação de processos internos - Fase 3,Diálogo Competitivo,514307.08,427910.45,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2025-12-16
21.109767-7,Celepar,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 3,Pregão Eletrônico,1215445.85,0.0,Fracassado,N/A,N/A,2025-12-10
25.916449-8,SEIA,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 2,Pregão Eletrônico,530048.73,0.0,Fracassado,N/A,N/A,2025-12-05
